0,1,2,3,4,5,6,7
1.0,1.0,1.0,0.99603,0.9917,0.99065,0.99225,0.98574
1.0,0.96961,0.93028,0.87607,0.81593,0.77676,0.6913,0.63704
0.99809,0.93694,0.72085,0.58404,0.47907,0.35887,0.27715,0.22177
0.99416,0.88027,0.58537,0.28631,0.1575,0.07316,0.04384,0.01172
0.99368,0.84693,0.42327,0.13082,0.0373,0.00672,0.00238,0.0
0.99332,0.76848,0.33333,0.0531,0.00621,0.00121,0.0,0.0
0.98955,0.71058,0.24653,0.02277,0.00061,0.0,0.0,0.0
0.98324,0.63653,0.18381,0.0092,0.0,0.0,0.0,0.0
